"Name","Company","State","City","Salary","Location","Url"
"b'Senior Quality Engineer'","b'Western Digital'","CA","San Jose","$101k-$137k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=61138&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a1bb533&cb=1515801400739&jobListingId=2585628288"
"b'Supplier Quality Engineer'","b""Quanergy System's Inc.""","CA","Sunnyvale","","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=204643&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e6b7199&cb=1515801400741&jobListingId=2618927286"
"b'Quality Engineer'","b'Power Integrations'","CA","San Jose","$64k-$128k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=285427&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5f5db18b&cb=1515801400742&jobListingId=2583191463"
"b'Quality Engineer'","b'APN Software Services Inc.  NEW'","CA","San Jose","","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=215203&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_30a8d2a2&cb=1515801400743&jobListingId=2634113255"
"b'Quality Engineer'","b'Abbott'","CA","Menlo Park","$67k-$133k","Menlo Park, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=242900&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a44f9d98&cb=1515801400744&jobListingId=2626437572"
"b'Quality Manager'","b'Winslow Automation'","CA","Milpitas","","Milpitas, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=296923&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6d018b19&cb=1515801400746&jobListingId=2625370883"
"b'Sr. Quality Inspector'","b""Quanergy System's Inc.""","CA","Sunnyvale","","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=204643&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b08a550e&cb=1515801400747&jobListingId=2629353550"
"b'Quality Engineer'","b'Tecan Systems'","CA","San Jose","$93k-$128k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_600a5bf2&cb=1515801400748&jobListingId=2587878860"
"b'Quality Engineer'","b'TTM Technologies'","CA","San Jose","$62k-$86k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=37049&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_64228042&cb=1515801400749&jobListingId=2608248974"
"b'Quality Assurance Engineer'","b'Amazon'","CA","Sunnyvale","$99k-$152k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=297635&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9bc34b65&cb=1515801400750&jobListingId=2014986698"
