"Name","Company","State","City","Salary","Location","Url"
"b'Site Reliability Engineer (SRE)'","b'Build.com'","CA","San Jose","$92k-$138k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=234899&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_e8eeab62&cb=1515800271792&jobListingId=2612672280"
"b'Hardware Reliability Engineer'","b'Amazon'","CA","Sunnyvale","$80k-$108k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=297635&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2ccf6dc4&cb=1515800271794&jobListingId=2610669535"
"b'Sr. Site Reliability Engineer  Security'","b'Harrison Clarke International'","CA","Mountain View","$106k-$158k","Mountain View, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=291616&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_be9374ae&cb=1515800271796&jobListingId=2625081291"
"b'Senior Site Reliability Engineer'","b'CrossPoint Consulting  NEW'","CA","San Jose","","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f03d06b4&cb=1515800271798&jobListingId=2613597682"
"b'Senior Site Reliability Engineer'","b'Cameron Craig Group'","CA","San Jose","$97k-$145k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=210362&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc99b73d&cb=1515800271799&jobListingId=2613415380"
"b'Reliability Engineer, Module Reliability'","b'Google'","CA","Mountain View","$134k-$179k","Mountain View, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=191997&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1ca9a08c&cb=1515800271801&jobListingId=2605832531"
"b'Senior Hardware Reliability Engineer'","b'Amazon'","CA","Sunnyvale","$101k-$135k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=297635&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d8999283&cb=1515800271803&jobListingId=2610669559"
"b'Reliability Engineer'","b'Proteus Digital Health, Inc.'","CA","Redwood City","$88k-$121k","Redwood City, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=269940&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86591e02&cb=1515800271805&jobListingId=2589501158"
"b'Site Reliability Engineer'","b'Green Bits'","CA","San Jose","","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=85944&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f68c976f&cb=1515800271807&jobListingId=2585378812"
"b'Reliability Hardware Engineer'","b'Infinera'","CA","Sunnyvale","$98k-$135k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=290943&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d9af39b&cb=1515800271810&jobListingId=2488837933"
"b'Senior Service Reliability Engineer'","b'Proofpoint'","CA","Sunnyvale","$118k-$156k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=238809&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e92be61c&cb=1515800271811&jobListingId=2457231331"
"b'Technologist, Reliability Engineering'","b'Western Digital'","CA","San Jose","$94k-$126k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4120&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3fba3e32&cb=1515800271813&jobListingId=2613528792"
"b'Systems Reliability Engineer (SRE)'","b'Nutanix'","CA","San Jose","$106k-$141k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=133905&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1db46951&cb=1515800271815&jobListingId=2580358509"
"b'Director, Site Reliability Engineering (SRE)'","b'Adobe'","CA","San Jose","$176k-$268k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=281578&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eb4738f3&cb=1515800271817&jobListingId=2631266248"
"b'Reliability Engineer'","b'Hermes-Microvision'","CA","San Jose","$66k-$90k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=14295&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_de284c71&cb=1515800271818&jobListingId=2396350946"
"b'Senior Site Reliability Engineer'","b'Adobe'","CA","San Jose","$136k-$207k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=281576&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_07ee3117&cb=1515800271821&jobListingId=2604963796"
"b'Systems Reliability Engineer (Japanese speaking)'","b'Nutanix'","CA","San Jose","$106k-$141k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=237332&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c65f463e&cb=1515800271822&jobListingId=2520143023"
"b'Senior Site Reliability Engineer'","b'NewCareers  NEW'","CA","San Jose","","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=136745&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9280db40&cb=1515800271825&jobListingId=2613267964"
"b'Product Reliability Engineer'","b'Velodyne'","CA","San Jose","$109k-$145k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=138442&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_88735db1&cb=1515800271826&jobListingId=2456106434"
"b'Module Reliability Engineer'","b'Apple'","CA","Santa Clara","$111k-$148k","Santa Clara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=255177&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b97d0eb4&cb=1515800271828&jobListingId=2631545657"
"b'PRINCIPAL SITE RELIABILITY ENGINEER'","b'Informatica'","CA","Redwood City","$146k-$211k","Redwood City, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=163600&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c135bec2&cb=1515800271829&jobListingId=2501378647"
"b'Site Reliability Engineer'","b'Tenable'","CA","San Jose","$108k-$164k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=269228&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4552a3a5&cb=1515800271831&jobListingId=2607558402"
"b'Quality & Reliability Engineer'","b'Microchip Technology'","CA","San Jose","$70k-$95k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=285897&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_053a85cb&cb=1515800271833&jobListingId=2620208770"
"b'Entry Level Reliability Engineer'","b'ON Semiconductor'","CA","San Jose","$79k-$105k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=25074&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a833d984&cb=1515800271835&jobListingId=2633763592"
"b'Site Reliability Engineer / DataOps'","b'Treasure Data'","CA","Mountain View","$97k-$145k","Mountain View, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=262187&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6d44dd28&cb=1515800271836&jobListingId=2516800212"
"b'Sr Site Reliability Engineer'","b'True North Consultants'","CA","San Jose","","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=85058&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_82d4c502&cb=1515800271837&jobListingId=2616194993"
"b'Site Reliability Engineer, DevOps Cloud'","b'F5 Networks'","CA","San Jose","$119k-$176k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=280746&s=58&guid=00000160ecbc99e0991b927c1b458fa3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_188d254c&cb=1515800271838&jobListingId=2626616300"
